"","sample_id","core_id","country_name","country_code","region_name","sub_region_name","site_name","lat","long","alt","depth_start_cm","depth_end_cm","increment_length_cm","mid_increment_depth_cm","topographic_position","slope_position","slope_deg","geology","land_use","years_since_deforestation","crops","set","BD_gcm3","TC_gkg","TN_gkg","CN_ratio","pH","ECEC_cmolckg","Ca_av_cmolckg","Mg_av_cmolckg","sum_bases_cmolckg","TRB_gkg","Ca_tot_gkg","Mg_tot_gkg","K_tot_gkg","P_tot_gkg","resinP_mgkg","FMC","clay_perc","silt_perc","sand_perc","Si_xrf_perc","Al_xrf_perc","Fe_xrf_perc","Fe_ox_perc","Fe_pyox_perc","Fe_pyoxdcb_perc","Al_ox_perc","Al_pyox_perc","Al_pyoxdcb_perc","Al_ar_gkg","Fe_ar_gkg"
"21","21_uga_mita_SL_0-10","21_uga_mita_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Mitandi Cell",0.593444,30.152167,1764,0,10,10,5,"slope","upper slope",17.5,"felsic","cropland","> 60","onions, cassava","slope",1.196,39.4956422686528,3.50722257566815,10.0933415796968,5.10483026555972,19.133984442292,15.1657973922493,3.64227005709501,19.8220043286409,9.2026673827978,6.23884004702789,3.25298994075582,1.66901587129335,2.23303203379068,12.2955665024631,0.987219184248431,42.0323037380646,10.7366641143962,47.2310321475392,15.9877425902115,11.1843069329602,9.9493546690322,1.03383105112029,0.749748929565672,6.02776640105603,0.478920305314309,0.619332110110807,3.15295487996613,53.025995725528,88.326181050182
"22","21_uga_mita_SL_10-20","21_uga_mita_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Mitandi Cell",0.593444,30.152167,1764,10,20,10,15,"slope","upper slope",17.5,"felsic","cropland","> 60","onions, cassava","slope",1.327,34.8454124021009,3.10058373562464,10.2350362455712,5.19022077980733,17.9857442336004,12.847999422022,3.26047691270377,17.378523437623,9.82196194918166,4.55350399507946,2.88863391224335,0.528193256397067,1.68342150055456,NA,NA,54.7734478619427,9.58651911260864,35.6400330254486,14.953693499504,10.596547639754,11.0599400797352,0.366541482296506,1.15575112474399,5.20937995289828,0.485250354715739,0.679526990374759,3.43692478527377,50.5485067990163,86.4844196014404
"23","21_uga_mita_SL_20-30","21_uga_mita_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Mitandi Cell",0.593444,30.152167,1764,20,30,10,25,"slope","upper slope",17.5,"felsic","cropland","> 60","onions, cassava","slope",1.303,15.782607888407,1.6501951296076,13.2404838989692,5.0416829893986,13.023277516498,8.25567816971612,0.746344663616874,11.7139344126562,9.93848321808329,10.6834695687828,4.46991466765109,0.001,0.570007488154541,NA,NA,55.9561986788188,9.7098600490171,34.3339412721641,13.8015231145521,9.05551272396514,9.9358181738986,0.798170073234969,1.92891073174921,5.93599976270435,0.559097223154637,0.605822222962476,3.68358340973547,33.0291246189657,70.0421584812994
"24","21_uga_rus_SL_0-10","21_uga_rus_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Ruseke",0.53718,30.14144,1621,0,10,10,5,"slope","upper slope",17,"felsic","cropland","> 60","maize, coffee, beans","slope",1.186,31.503596073085,2.96386534599889,11.2355321536429,5.36993420874161,15.3299315447877,11.9630937920444,3.42960103138273,16.8510021173868,7.69600372744565,4.94414022356763,3.0845937993299,1.59259020385309,1.36122339943477,20.3168316831683,0.98602523085092,43.813915026204,15.1747008735152,41.0113841002808,18.6246959400334,10.2083729063448,6.52930779162706,0.001,0.567614140751234,3.15603252177203,0.442575915091251,0.534311605041517,3.59859923624258,41.6516817735566,61.6329713957252
"25","21_uga_rus_SL_10-20","21_uga_rus_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Ruseke",0.53718,30.14144,1621,10,20,10,15,"slope","upper slope",17,"felsic","cropland","> 60","maize, coffee, beans","slope",1.195,30.9653271359009,2.49194221489911,9.85511442763105,5.35190072939516,13.9530130684059,10.1550817745757,2.82591177231921,14.926475409638,4.4783697919596,5.07994913974239,3.837699963245,1.62248067311482,1.45904504632857,NA,NA,44.5194184524535,7.76268749904502,47.7178940485015,16.47803961828,9.76928536736943,7.97206458244768,0.555391566513144,0.946792156011503,3.47174274007298,0.453600088065982,0.570399820665877,3.49070937731918,47.7953622165582,57.3760342321381
"26","21_uga_rus_SL_20-30","21_uga_rus_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Ruseke",0.53718,30.14144,1621,20,30,10,25,"slope","upper slope",17,"felsic","cropland","> 60","maize, coffee, beans","slope",1.289,19.7117478755833,1.90846025197402,9.31253366204082,5.50262471319675,15.2258557133227,11.662792260162,2.826566862771,15.4595598149034,5.90919999619833,3.19263723068632,2.49652000283651,1.17143576721006,1.37467952854122,NA,NA,52.773384164693,13.597356521368,33.629259313939,18.1438913849285,11.2044071422699,7.91478492045264,0.158400298744256,0.901334257998123,4.17523426416808,0.360814717000917,0.53535640097722,4.41644237399755,40.4687741945006,74.0162070845426
"27","21_uga_kik_SL_0-10","21_uga_kik_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Kikonzo Cell",0.55461,30.13971,1685,0,10,10,5,"slope","Mid-slope",13,"felsic","cropland","> 60","maize, beans, cassava","slope",1.182,20.488443675937,2.07005782265404,11.5491456056263,5.00598975003509,10.4831940183826,8.09596984247924,2.71134757285034,11.4604801829946,7.82065301304155,2.68332455741309,2.12521888356616,1.80180784619,1.02653070477357,7.55940594059406,1.00557807438024,47.8088725346351,42.0223660195991,10.1687614457658,18.3915253101219,10.5718126820353,8.1251735550789,0.970495413215222,0.935476563632361,6.10974784425112,0.423899097412694,0.469257632468149,2.72602818374746,27.3638435343013,65.3941458536551
"28","21_uga_kik_SL_10-20","21_uga_kik_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Kikonzo Cell",0.55461,30.13971,1685,10,20,10,15,"slope","Mid-slope",13,"felsic","cropland","> 60","maize, beans, cassava","slope",1.065,27.7869172868322,2.57688265447758,11.2863426620484,5.01764104972337,11.3854834359179,7.39023192570424,2.11200782282779,12.2064240924257,7.39593978421457,3.18288782077302,2.40116946717036,0.965687511737468,1.01011281246922,NA,NA,49.3776450788255,11.0816072034139,39.5407477177607,18.6067147484042,11.8146860444492,7.9627295873065,0.00990908996091072,0.409501182817766,3.65056030310209,0.492823578638334,0.627004752319539,3.60626259281115,43.6167734838856,72.4497084202864
"29","21_uga_kik_SL_20-30","21_uga_kik_SL","Uganda","uga","Rwenzori Foothills","Rwenzori","Kikonzo Cell",0.55461,30.13971,1685,20,30,10,25,"slope","Mid-slope",13,"felsic","cropland","> 60","maize, beans, cassava","slope",1.18,15.1190501997873,1.92894267673607,10.8573167270962,5.41126598455068,11.4912416224276,7.35462838704606,2.23526629506414,11.3991132196313,4.88703055291233,2.35733848109203,1.43120134729988,0.926981876995806,0.899122538962347,NA,NA,44.8288567469328,39.7486073645641,15.422535888503,17.8501205702713,11.3638774088107,8.06558406954981,0.539976078715688,0.669234382633811,4.98010924102717,0.266439813880928,0.35978276519282,3.5220034445498,30.9851630534178,75.9467096419198
"30","21_uga_muk_SL_0-10","21_uga_muk_SL","Uganda","uga","West Fort Portal","Matiri","Mukonomura",0.55847,30.80452,1265,0,10,10,5,"slope","Mid-slope",15,"felsic","cropland","10–20","irish potatoes","slope",1.276,31.6123992932937,2.96208201415417,9.29138798037014,5.24,7.75691829428389,7.19243761802912,0.758158515921862,7.59083182318682,3.70453260305469,1.56371037848347,0.678503990572484,0.001,0.377506253800989,0.517766497461929,NA,55.016442522726,9.16610922079353,35.8174482564805,15.7337809962759,10.1939122537771,6.29358195480551,0.001,0.0492572627902955,1.56740471665671,0.219257883236113,0.319789864078097,2.06257125121871,37.1342852413278,42.5797934034263
